id,isCardDrop,Name,staticID,probability,probabilityDenominator
-1,-1," ""空掉落-防止报错""",-1,-1,-1
10001,-1," ""商会任务（卡普拉）""",10204045,0,1000
10002,-1," ""活跃度20""",-1,0,1000
10003,-1," ""活跃度40""",-1,0,1000
10004,-1," ""活跃度60""",-1,0,1000
10005,-1," ""活跃度80""",-1,0,1000
10006,-1," ""活跃度100""",-1,0,1000
10007,-1," ""小怪击杀累计奖励1""",-1,-1,-1
10008,-1," ""小怪击杀累计奖励2""",-1,-1,-1
10009,-1," ""小怪击杀累计奖励3""",-1,-1,-1
10010,-1," ""商会捐助奖励""",-1,-1,-1
10011,-1," ""剑士系坐骑""",80001,-1,-1
10012,-1," ""牧师系坐骑""",80002,-1,-1
10013,-1," ""法师系坐骑""",80003,-1,-1
10014,-1," ""弓箭手系坐骑""",80007,-1,-1
10015,-1," ""盗贼系坐骑""",80006,-1,-1
10016,-1," ""梦魇坐骑""",80005,-1,-1
10017,-1," ""大波利坐骑""",80008,-1,-1
10018,-1," ""通行证飞行器宝箱""",10204030,-1,-1
10019,-1," ""学院解锁""",-1,-1,-1
10020,-1," ""转职解锁""",-1,-1,-1
10021,-1," ""坐骑解锁""",-1,-1,-1
10022,-1," ""装扮解锁""",-1,-1,-1
10023,-1," ""委托板解锁""",-1,-1,-1
10024,-1," ""卡片解锁""",-1,-1,-1
10025,-1," ""副本解锁""",-1,-1,-1
10026,-1," ""公会解锁""",-1,-1,-1
10027,-1," ""MVP解锁""",-1,-1,-1
10028,-1," ""附魔解锁""",-1,-1,-1
10029,-1," ""精炼解锁""",-1,-1,-1
10030,-1," ""战场解锁""",-1,-1,-1
10031,-1," ""爬塔解锁""",-1,-1,-1
10032,-1," ""制造解锁""",-1,-1,-1
10033,-1," ""OX-3题宝箱""",10204026,1000,1000
10034,-1," ""OX-6题宝箱""",10204026,1000,1000
10035,-1," ""OX-9题宝箱""",10204028,1000,1000
10036,-1," ""OX-12题宝箱""",10204029,1000,1000
10037,-1," ""1日登陆""",10204064,-1,-1
10038,-1," ""2日登陆""",10204064,-1,-1
10039,-1," ""3日登陆""",10204065,-1,-1
10040,-1," ""4日登陆""",10204065,-1,-1
10041,-1," ""5日登陆""",10204112,-1,-1
10042,-1," ""6日登陆""",10204113,-1,-1
10043,-1," ""7日登陆""",10204114,-1,-1
10044,-1," ""6日礼包剑士武器""",-1,-1,-1
10045,-1," ""6日礼包法师武器""",-1,-1,-1
10046,-1," ""6日礼包牧师武器""",-1,-1,-1
10047,-1," ""6日礼包刺客武器""",-1,-1,-1
10048,-1," ""6日礼包弓手武器""",-1,-1,-1
10049,-1," ""剑士转职装备""",1201001,-1,-1
10050,-1," ""法师转职装备""",1201002,-1,-1
10051,-1," ""服侍转职装备""",1201002,-1,-1
10052,-1," ""盗贼转职装备""",1201001,-1,-1
10053,-1," ""弓手转职装备""",3201905,-1,-1
10054,-1," ""冒险手册经验""",-1,-1,-1
10055,-1," ""新手宝箱8000zeny""",-1,-1,-1
10056,-1," ""商人转职装备""",1201001,-1,-1
10057,-1," ""商会任务（准它）""",10204044,0,1000
10058,-1," ""商会任务（喵手）""",10204043,0,1000
10059,-1," ""商人系坐骑""",80009,-1,-1
10060,-1," ""公会kvm每日奖励""",10204103,0,1000
10061,-1," ""喷射飞行器宝箱""",80010,-1,-1
10062,-1," ""活力值药水""",10201040,-1,-1
10063,-1," ""仓鼠坐骑宝箱""",80027,-1,-1
10064,-1," ""通行证仓鼠宝箱""",10204031,-1,-1
10065,-1," ""通行证波利换色""",10403030,-1,-1
10066,-1," ""通行证波利配件1""",10216020,-1,-1
10067,-1," ""通行证波利配件红染料""",10403031,-1,-1
10068,-1," ""通行证仓鼠换色""",10403040,-1,-1
10069,-1," ""通行证仓鼠坐骑配件""",10216019,-1,-1
10070,-1," ""通行证仓鼠配件绿色染料""",10403033,-1,-1
10071,-1," ""通行证蝴蝶翅膀""",10202004,-1,-1
10072,-1," ""夏日衣服""",2405008,-1,-1
10073,-1," ""夏日头饰""",4101181,-1,-1
10074,-1," ""大波利高级配件颜色""",10403034,-1,-1
10075,-1," ""大波利高级配件""",10216021,-1,-1
10076,-1," ""夏日运动服装""",2405007,-1,-1
10077,-1," ""夏日运动头饰""",4101180,-1,-1
10078,-1," ""咖啡色染料""",10403043,-1,-1
10079,-1," ""白色染料""",10403032,-1,-1
10080,-1," ""染料礼包""",10204118,-1,-1
10081,-1," ""高级头饰礼盒""",10204109,-1,-1
10082,-1," ""高级料理包""",10204114,-1,-1
10083,-1," ""通行证坐骑头部自选礼包""",10204130,-1,-1
10084,-1," ""通行证坐骑身部中级礼包""",10204131,-1,-1
10085,-1," ""通行证坐骑身部高级礼包""",10204132,-1,-1
10086,-1," ""通行证-奥丁璀璨圣匣1个""",10204133,-1,-1
10087,-1," ""通行证-奥丁璀璨圣匣5个""",10204133,-1,-1
10088,-1," ""通行证-奥丁璀璨圣匣10个""",10204133,-1,-1
10089,-1," ""通行证-摆摊雷达""",10409002,-1,-1
10090,-1," ""通行证-蝴蝶翅膀5""",10202004,-1,-1
10091,-1," ""通行证-乐园团门票单人""",10204014,-1,-1
10092,-1," ""通行证-乐园团门票双人""",10204015,-1,-1
10093,-1," ""通行证-自动钓杆""",10206008,-1,-1
10094,-1," ""mycard返利""",10204160,-1,-1
10095,-1," ""通行证-好感培育礼盒""",10204191,-1,-1
10096,-1," ""通行证-野餐飞毯坐骑道具""",10204198,-1,-1
10107,-1," ""30天登录掉落1""",10204059,-1,-1
10108,-1," ""30天登录掉落2""",10204058,-1,-1
10109,-1," ""30天登录掉落3""",10204060,-1,-1
10110,-1," ""30天登录掉落4""",10204061,-1,-1
10111,-1," ""30天登录掉落5""",10204115,-1,-1
10112,-1," ""30天登录掉落6""",10204110,-1,-1
10113,-1," ""30天登录掉落7""",-1,-1,-1
10114,-1," ""30天登录掉落8""",10204059,-1,-1
10115,-1," ""30天登录掉落9""",10204058,-1,-1
10116,-1," ""30天登录掉落10""",10204060,-1,-1
10117,-1," ""30天登录掉落11""",10204061,-1,-1
10118,-1," ""30天登录掉落12""",10204112,-1,-1
10119,-1," ""30天登录掉落13""",10207003,-1,-1
10120,-1," ""30天登录掉落14""",-1,-1,-1
10121,-1," ""30天登录掉落15""",10204059,-1,-1
10122,-1," ""30天登录掉落16""",10204058,-1,-1
10123,-1," ""30天登录掉落17""",10204060,-1,-1
10124,-1," ""30天登录掉落18""",10204061,-1,-1
10125,-1," ""30天登录掉落19""",10204113,-1,-1
10126,-1," ""30天登录掉落20""",10204062,-1,-1
10127,-1," ""30天登录掉落21""",-1,-1,-1
10128,-1," ""30天登录掉落22""",10204059,-1,-1
10129,-1," ""30天登录掉落23""",10204058,-1,-1
10130,-1," ""30天登录掉落24""",10204060,-1,-1
10131,-1," ""30天登录掉落25""",10204061,-1,-1
10132,-1," ""30天登录掉落26""",10204114,-1,-1
10133,-1," ""30天登录掉落27""",10204111,-1,-1
10134,-1," ""30天登录掉落28""",-1,-1,-1
10150,-1," ""通行证普通宝箱""",-1,-1,-1
10151,-1," ""通行证普通宝箱""",-1,-1,-1
10161,-1," ""骑士转职掉落""",-1,-1,-1
10162,-1," ""巫师转职掉落""",-1,-1,-1
10163,-1," ""牧师转职掉落""",-1,-1,-1
10164,-1," ""猎人转职掉落""",-1,-1,-1
10165,-1," ""刺客转职掉落""",-1,-1,-1
10166,-1," ""铁匠转职掉落""",-1,-1,-1
10167,-1," ""骑士领主转职掉落""",-1,-1,-1
10168,-1," ""超魔导士转职掉落""",-1,-1,-1
10169,-1," ""神官转职掉落""",-1,-1,-1
10170,-1," ""神射手转职掉落""",-1,-1,-1
10171,-1," ""十字刺客转职掉落""",-1,-1,-1
10172,-1," ""神工匠转职掉落""",-1,-1,-1
10173,-1," ""林志颖赛车手办小型怪""",10413226,2,5000000
10174,-1," ""林志颖赛车手办中型怪""",10413226,4,5000000
10175,-1," ""林志颖赛车手办大型怪""",10413226,6,5000000
10201,-1," ""Pass高级锄头""",10207002,-1,-1
10202,-1," ""Pass初级鱼饵包""",10204115,-1,-1
10203,-1," ""Pass强化补给包""",10204059,-1,-1
10204,-1," ""Pass装备培养包""",10204058,-1,-1
10205,-1," ""Pass宠物捕捉包""",10204106,-1,-1
10206,-1," ""Pass初级料理包""",10204112,-1,-1
10207,-1," ""Pass附魔补给包""",10204060,-1,-1
10208,-1," ""Pass精炼补给包""",10204061,-1,-1
10209,-1," ""Pass水晶""",-1,-1,-1
10210,-1," ""Pass初级头饰盒""",10204110,-1,-1
10211,-1," ""Pass富集矿稿""",10207003,-1,-1
10212,-1," ""Pass老旧收集录""",10204062,-1,-1
10213,-1," ""Pass高级头饰图纸礼盒""",10204111,-1,-1
10214,-1," ""Pass中级料理""",10204113,-1,-1
10215,-1," ""Pass高级强化包""",10204117,-1,-1
10216,-1," ""Pass蓝学院头""",4101176,-1,-1
10217,-1," ""Pass蓝学院背包""",4107004,-1,-1
10218,-1," ""Pass蓝学院背包""",2405004,-1,-1
10219,-1," ""外科口罩""",4103019,-1,-1
10220,-1," ""N95""",4103020,-1,-1
10221,-1," ""宠物达标1""",10204106,-1,-1
10222,-1," ""宠物达标2""",10204106,-1,-1
10223,-1," ""宠物达标3""",10204106,-1,-1
10224,-1," ""宠物达标4""",10204106,-1,-1
10225,-1," ""宠物达标5""",10204106,-1,-1
10226,-1," ""宠物达标6""",10204106,-1,-1
10227,-1," ""宠物达标7""",10204106,-1,-1
10228,-1," ""battlepass技能重置棒""",10202026,-1,-1
10229,-1," ""battlepass轮回之石""",10202025,-1,-1
10230,-1," ""battlepass打孔石""",10403001,-1,-1
10231,-1," ""battlepass美发券""",10403044,-1,-1
10232,-1," ""battlepass美容券""",10403045,-1,-1
10233,-1," ""battlepass枯树枝""",10204119,-1,-1
10251,-1," ""学园祭-帽子红""",4101175,-1,-1
10252,-1," ""学园祭-衣服红""",2405003,-1,-1
10253,-1," ""学园祭-书包红""",4107003,-1,-1
10254,-1," ""学园祭-帽子绿""",4101177,-1,-1
