name,nameLocalized,staticId,level,baseExp,jobExp,maxHp,physicDefenseLevel,zeny
" ""MonsterName10001"""," ""波利""",-1,1,32,32,118,6,18
" ""MonsterName10002"""," ""绿棉虫""",10002,2,17,17,65,7,9
" ""MonsterName10003"""," ""虫蛹""",10003,3,18,18,72,8,9
" ""MonsterName10004"""," ""疯兔""",10004,4,19,19,80,10,9
" ""MonsterName10005"""," ""盗虫卵""",10005,13,28,28,242,12,13
" ""MonsterName10006"""," ""苍蝇""",10006,12,41,14,204,13,13
" ""MonsterName10007"""," ""树精""",10007,10,50,50,273,10,27
" ""MonsterName10008"""," ""罗达蛙""",10008,33,48,144,7686,57,48
" ""MonsterName10009"""," ""盗虫""",10009,15,23,38,328,19,13
" ""MonsterName10010"""," ""蝗虫""",10010,11,78,26,338,14,27
" ""MonsterName10011"""," ""小鸡""",10011,6,21,21,96,10,9
" ""MonsterName10012"""," ""土波利""",10012,7,33,55,211,11,18
" ""MonsterName10013"""," ""大嘴鸟蛋""",10013,5,20,20,88,8,9
" ""MonsterName10014"""," ""秃鹰""",10014,8,46,46,230,11,18
" ""MonsterName10015"""," ""小野猪""",10015,16,31,31,375,25,13
" ""MonsterName10016"""," ""沙漠幼狼""",10016,18,33,33,481,29,13
" ""MonsterName10017"""," ""大嘴鸟""",10017,43,275,92,43057,172,89
" ""MonsterName10018"""," ""摩卡""",10018,42,221,133,38193,105,89
" ""MonsterName10019"""," ""重金属蝗虫""",10019,44,158,95,32156,78,59
" ""MonsterName10020"""," ""毒蛇""",10020,45,65,195,35825,168,59
" ""MonsterName10021"""," ""蝎子""",10021,46,67,67,19860,90,30
" ""MonsterName10022"""," ""巨石怪""",10022,47,259,155,65777,193,89
" ""MonsterName10023"""," ""蚯蚓""",10023,49,146,146,53407,222,59
" ""MonsterName10024"""," ""沙漠之狼""",10024,50,113,188,58698,284,72
" ""MonsterName10025"""," ""伞蜥""",10025,54,166,166,105379,364,72
" ""MonsterName10026"""," ""泥人""",10026,100,-1,-1,1,-1,26
" ""MonsterName10027"""," ""蜂兵""",10027,22,37,37,752,38,18
" ""MonsterName10028"""," ""蜗牛""",10028,24,176,59,2934,31,55
" ""MonsterName10029"""," ""森灵""",10029,62,202,202,224568,520,86
" ""MonsterName10030"""," ""猎蝇""",10030,32,35,59,3497,67,24
" ""MonsterName10031"""," ""锹形虫""",10031,36,128,77,10080,84,48
" ""MonsterName10032"""," ""狂暴野猫""",10032,999,-1,-1,1,-1,26
" ""MonsterName10033"""," ""黑蛇""",10033,47,138,138,43851,193,59
" ""MonsterName10034"""," ""毕帝特地龙""",10034,79,304,304,683157,748,100
" ""MonsterName10035"""," ""毕帝特飞龙""",10035,80,349,581,1077550,923,174
" ""MonsterName10036"""," ""长老树精""",10036,66,339,339,431880,502,129
" ""MonsterName10037"""," ""转转蛋""",10037,70,125,375,361690,285,100
" ""MonsterName10038"""," ""大脚熊""",10038,63,234,390,359227,360,129
" ""MonsterName10039"""," ""野猪""",10039,44,142,236,48234,124,89
" ""MonsterName10040"""," ""魔锅蛋""",10040,48,89,53,24202,248,30
" ""MonsterName10041"""," ""土人""",10041,68,149,89,161719,643,43
" ""MonsterName10042"""," ""鬼火""",10042,71,128,128,221616,585,50
" ""MonsterName10043"""," ""将军魔碑""",10043,68,446,268,485157,643,129
" ""MonsterName10044"""," ""吸血蝙蝠""",10044,17,32,32,426,27,13
" ""MonsterName10045"""," ""魔菇""",10045,26,62,103,2509,54,37
" ""MonsterName10046"""," ""漂浮虫""",10046,21,45,27,674,24,18
" ""MonsterName10047"""," ""白鼠""",10047,23,29,48,853,35,18
" ""MonsterName10048"""," ""浮勒盗虫""",10048,19,68,68,1077,26,27
" ""MonsterName10049"""," ""玛勒盗虫""",10049,25,60,100,2224,33,37
" ""MonsterName10050"""," ""狼""",10050,64,268,161,255005,234,86
" ""MonsterName10051"""," ""曼陀罗魔花""",10051,14,44,73,567,20,27
" ""MonsterName10052"""," ""波波利""",10052,20,70,70,1201,33,37
" ""MonsterName10053"""," ""青蛇""",10053,63,104,312,239485,450,86
" ""MonsterName10054"""," ""克瑞米""",10054,27,63,21,1406,49,18
" ""MonsterName10055"""," ""瓢虫""",10055,31,46,46,3174,32,24
" ""MonsterName10056"""," ""绿苍蝇""",10056,29,55,33,1736,45,18
" ""MonsterName10057"""," ""松鼠""",10057,31,46,46,3174,51,24
" ""MonsterName10058"""," ""狸猫""",10058,32,71,24,3497,34,24
" ""MonsterName10059"""," ""刺猬虫""",10059,34,25,74,4212,75,24
" ""MonsterName10060"""," ""溜溜猴""",10060,37,78,26,5503,107,24
" ""MonsterName10061"""," ""邪骸海盗""",10061,39,108,108,13046,118,48
" ""MonsterName10062"""," ""邪骸食人鱼""",10062,106,-1,-1,1,-1,150
" ""MonsterName10063"""," ""毒魔菇""",10063,28,43,129,3132,42,37
" ""MonsterName10064"""," ""白幽灵""",10064,41,43,71,11210,60,30
" ""MonsterName10065"""," ""库克雷""",10065,35,50,50,4607,80,24
" ""MonsterName10066"""," ""海葵""",10066,36,64,38,5040,101,24
" ""MonsterName10067"""," ""贝壳魔灵""",10067,101,-1,-1,1,-1,66
" ""MonsterName10068"""," ""螃蟹""",10068,52,59,99,44246,216,36
" ""MonsterName10069"""," ""水母""",10069,53,61,101,48353,143,36
" ""MonsterName10070"""," ""突变蛙""",10070,999,-1,-1,1,-1,4
" ""MonsterName10071"""," ""卡那多斯""",10071,55,64,106,57265,256,36
" ""MonsterName10072"""," ""剑鱼""",10072,56,131,218,124173,405,72
" ""MonsterName10073"""," ""气泡虫""",10073,58,91,91,72001,185,36
" ""MonsterName10074"""," ""异变鱼""",10074,59,140,419,231134,309,108
" ""MonsterName10075"""," ""人鱼""",10075,61,147,245,210241,417,86
" ""MonsterName10076"""," ""乌贼""",10076,60,95,95,82302,201,43
" ""MonsterName10077"""," ""人鱼士兵""",10077,102,-1,-1,1,-1,150
" ""MonsterName10078"""," ""马克""",10078,67,116,116,152673,519,43
" ""MonsterName10079"""," ""狄奥斯""",10079,69,61,183,171107,443,43
" ""MonsterName10080"""," ""白蚁""",10080,50,75,75,29349,237,36
" ""MonsterName10081"""," ""工蚁""",10081,51,77,77,40360,126,36
" ""MonsterName10082"""," ""兵蚁""",10082,54,83,83,52690,303,36
" ""MonsterName10083"""," ""黑蚁""",10083,55,43,128,57265,384,36
" ""MonsterName10084"""," ""红蝙蝠""",10084,30,34,56,1915,71,24
" ""MonsterName10085"""," ""基尔瑟""",10085,38,53,53,5997,47,24
" ""MonsterName10086"""," ""卷甲虫""",10086,61,123,74,105121,333,43
" ""MonsterName10087"""," ""石斧海盗骷髅""",10087,38,106,106,11994,75,48
" ""MonsterName10088"""," ""腐尸""",10088,35,125,75,9213,96,48
" ""MonsterName10089"""," ""僵尸""",10089,66,226,226,287920,251,86
" ""MonsterName10090"""," ""妖道""",10090,67,232,232,305346,519,86
" ""MonsterName10091"""," ""鬼女""",10091,69,244,244,342214,277,86
" ""MonsterName10092"""," ""九尾狐""",10092,70,125,125,180845,571,50
" ""MonsterName10093"""," ""土拨鼠""",10093,37,26,78,5503,44,24
" ""MonsterName10094"""," ""邪骸矿工""",10094,40,110,110,14165,52,59
" ""MonsterName10095"""," ""麦斯特""",10095,41,214,128,33630,95,89
" ""MonsterName10096"""," ""暗神官""",10096,92,-1,-1,300000,-1,174
" ""MonsterName10097"""," ""邪骸战士""",10097,65,220,220,271145,581,86
" ""MonsterName10098"""," ""邪骸弓箭手""",10098,53,122,203,96706,229,72
" ""MonsterName10099"""," ""黑狐""",10099,49,146,146,53407,177,59
" ""MonsterName10100"""," ""木乃伊""",10100,56,261,87,124173,169,72
" ""MonsterName10101"""," ""毕莱特""",10101,57,178,178,134330,178,72
" ""MonsterName10102"""," ""绿腐尸""",10102,77,292,292,616211,706,100
" ""MonsterName10103"""," ""蛇女伊丝""",10103,58,341,205,216003,371,108
" ""MonsterName10104"""," ""米洛斯""",10104,59,349,209,231134,386,108
" ""MonsterName10105"""," ""艾斯蜘蛛""",10105,42,133,221,38193,157,89
" ""MonsterName10106"""," ""螳螂""",10106,43,122,122,28705,143,59
" ""MonsterName10107"""," ""噬人花""",10107,45,195,195,53738,201,89
" ""MonsterName10108"""," ""艾吉欧蜈蚣""",10108,52,237,237,132737,269,108
" ""MonsterName10109"""," ""刺锤哥布灵""",10109,73,268,268,495508,748,100
" ""MonsterName10110"""," ""榔头哥布灵""",10110,75,350,210,553727,532,100
" ""MonsterName10111"""," ""链锤哥布灵""",10111,71,320,192,443233,702,100
" ""MonsterName10112"""," ""大斧哥布灵""",10112,77,292,292,616211,706,100
" ""MonsterName10113"""," ""刺刀哥布灵""",10113,79,304,304,683157,898,100
" ""MonsterName10114"""," ""弓箭哥布灵""",10114,81,119,198,439561,644,58
" ""MonsterName10115"""," ""喷射哥布灵""",10115,85,170,510,1070770,1078,97
" ""MonsterName10116"""," ""杰洛米""",10116,60,238,143,164604,482,86
" ""MonsterName10117"""," ""诺可伊""",10117,62,253,152,224568,520,86
" ""MonsterName10118"""," ""马尔杜克""",10118,57,200,334,201495,284,108
" ""MonsterName10119"""," ""帕莎纳""",10119,64,321,321,382507,374,129
" ""MonsterName10120"""," ""兽人腐尸""",10120,72,295,491,702868,604,150
" ""MonsterName10121"""," ""兽人战士""",10121,75,210,630,830591,332,150
" ""MonsterName10122"""," ""邪骸兽人""",10122,76,429,429,876636,343,150
" ""MonsterName10123"""," ""兽人女战士""",10123,83,328,328,971814,681,116
" ""MonsterName10124"""," ""兹诺克""",10124,84,334,334,1020492,875,116
" ""MonsterName10125"""," ""赤苍蝇""",10125,40,69,41,7083,83,30
" ""MonsterName10126"""," ""兽人弓箭手""",10126,88,358,358,1231545,1163,102
" ""MonsterName10127"""," ""兽人战士长""",10127,86,649,389,1684023,1106,148
" ""MonsterName10128"""," ""刺锤犬妖""",10128,73,335,201,495508,624,100
" ""MonsterName10129"""," ""榔头犬妖""",10129,76,286,286,584424,685,100
" ""MonsterName10130"""," ""犬妖弓箭手""",10130,82,161,161,462351,414,58
" ""MonsterName10131"""," ""大斧犬妖""",10131,85,340,340,1070770,719,116
" ""MonsterName10132"""," ""南瓜先生""",10132,74,206,69,262048,322,50
" ""MonsterName10133"""," ""傀儡娃娃""",10133,78,149,149,324557,873,50
" ""MonsterName10134"""," ""小恶魔""",10134,83,246,82,485907,681,58
" ""MonsterName10135"""," ""梦魇""",10135,87,660,396,1764392,1134,150
" ""MonsterName10136"""," ""蓝鼠""",10136,94,-1,-1,300000,-1,58
" ""MonsterName10137"""," ""朽魔""",10137,92,-1,-1,300000,-1,66
" ""MonsterName10138"""," ""巫婆""",10138,93,-1,-1,300000,-1,132
" ""MonsterName10139"""," ""钟怪""",10139,97,-1,-1,300000,-1,132
" ""MonsterName10141"""," ""古钟魔""",10141,98,-1,-1,300000,-1,132
" ""MonsterName10142"""," ""钟塔守护者""",10142,100,-1,-1,300000,-1,-1
