TextAsset Base
	string m_Name = "data_sceneMonster_SceneMonster"
	string m_Script = "return {
	[10] = {
		["staticId"] = 10,
		["monsterId"] = 10004,
		["sceneId"] = 11001,
		["posX"] = -68.98598,
		["posZ"] = 57.96055,
		["radius"] = 12,
		["respawnTime"] = 10,
		["amount"] = 8,
		["posY"] = 0,
		["_Edit_staticId"] = "0",
		["_Edit_monsterId"] = "0",
		["_Edit_sceneId"] = "0",
		["_Edit_posX"] = "0",
		["_Edit_posZ"] = "0",
		["_Edit_radius"] = "0",
		["_Edit_respawnTime"] = "0",
		["_Edit_amount"] = "0",
		["_Edit_posY"] = "0",
		["monsterName"] = "疯兔",
		["_Edit_monsterName"] = "1",
		["monsterDistribution"] = "随机",
		["_Edit_monsterDistribution"] = "1"
	},
	[11] = {
		["staticId"] = 11,
		["monsterId"] = 10002,
		["sceneId"] = 11001,
		["posX"] = -90.05049,
		["posZ"] = 5.12776,
		["radius"] = 5,
		["respawnTime"] = 10,
		["amount"] = 3,
		["posY"] = 0,
		["_Edit_staticId"] = "0",
		["_Edit_monsterId"] = "0",
		["_Edit_sceneId"] = "0",
		["_Edit_posX"] = "0",
		["_Edit_posZ"] = "0",
		["_Edit_radius"] = "0",
		["_Edit_respawnTime"] = "0",
		["_Edit_amount"] = "0",
		["_Edit_posY"] = "0",
		["monsterName"] = "疯兔",
		["_Edit_monsterName"] = "1",
		["monsterDistribution"] = "随机",
		["_Edit_monsterDistribution"] = "1"
	},
	[12] = {
		["staticId"] = 12,
		["monsterId"] = 10002,
		["sceneId"] = 11001,
		["posX"] = -97.77422,
		["posZ"] = -92.43315,
		["radius"] = 7,
		["respawnTime"] = 10,
		["amount"] = 5,
		["posY"] = 0,
		["_Edit_staticId"] = "0",
		["_Edit_monsterId"] = "0",
		["_Edit_sceneId"] = "0",
		["_Edit_posX"] = "0",
		["_Edit_posZ"] = "0",
		["_Edit_radius"] = "0",
		["_Edit_respawnTime"] = "0",
		["_Edit_amount"] = "0",
		["_Edit_posY"] = "0",
		["monsterName"] = "疯兔",
		["_Edit_monsterName"] = "1",
		["monsterDistribution"] = "随机",
		["_Edit_monsterDistribution"] = "1"
	},
	[13] = {
		["staticId"] = 13,
		["monsterId"] = 10003,
		["sceneId"] = 11001,
		["posX"] = -90.05049,
		["posZ"] = 5.12776,
		["radius"] = 7,
		["respawnTime"] = 10,
		["amount"] = 4,
		["posY"] = 0,
		["_Edit_staticId"] = "0",
		["_Edit_monsterId"] = "0",
		["_Edit_sceneId"] = "0",
		["_Edit_posX"] = "0",
		["_Edit_posZ"] = "0",
		["_Edit_radius"] = "0",
		["_Edit_respawnTime"] = "0",
		["_Edit_amount"] = "0",
		["_Edit_posY"] = "0",
		["monsterName"] = "疯兔",
		["_Edit_monsterName"] = "1",
		["monsterDistribution"] = "随机",
		["_Edit_monsterDistribution"] = "1"
	},
	[14] = {
		["staticId"] = 14,
		["monsterId"] = 10003,
		["sceneId"] = 11001,
		["posX"] = -100.1769,
		["posZ"] = -38.11756,
		["radius"] = 4,
		["respawnTime"] = 10,
		["amount"] = 3,
		["posY"] = 0,
		["_Edit_staticId"] = "0",
		["_Edit_monsterId"] = "0",
		["_Edit_sceneId"] = "0",
		["_Edit_posX"] = "0",
		["_Edit_posZ"] = "0",
		["_Edit_radius"] = "0",
		["_Edit_respawnTime"] = "0",
		["_Edit_amount"] = "0",
		["_Edit_posY"] = "0",
		["monsterName"] = "疯兔",
		["_Edit_monsterName"] = "1",
		["monsterDistribution"] = "随机",
		["_Edit_monsterDistribution"] = "1"
	},
	[15] = {
		["staticId"] = 15,
		["monsterId"] = 10011,
		["sceneId"] = 11001,
		["posX"] = 89.05167,
		["posZ"] = 63.07349,
		["radius"] = 12,
		["respawnTime"] = 10,
		["amount"] = 5,
		["posY"] = 0,
		["_Edit_staticId"] = "0",
		["_Edit_monsterId"] = "0",
		["_Edit_sceneId"] = "0",
		["_Edit_posX"] = "0",
		["_Edit_posZ"] = "0",
		["_Edit_radius"] = "0",
		["_Edit_respawnTime"] = "0",
		["_Edit_amount"] = "0",
		["_Edit_posY"] = "0",
		["monsterName"] = "疯兔",
		["_Edit_monsterName"] = "1",
		["monsterDistribution"] = "随机",
		["_Edit_monsterDistribution"] = "1"
	},
	[17] = {
		["staticId"] = 17,
		["monsterId"] = 30002,
		["sceneId"] = 11001,
		["posX"] = 51,
		["posZ"] = 1.6,
		["radius"] = 1,
		["respawnTime"] = 35,
		["amount"] = 1,
		["posY"] = 0,
		["_Edit_staticId"] = "0",
		["_Edit_monsterId"] = "0",
		["_Edit_sceneId"] = "0",
		["_Edit_posX"] = "0",
		["_Edit_posZ"] = "0",
		["_Edit_radius"] = "0",
		["_Edit_respawnTime"] = "0",
		["_Edit_amount"] = "0",
		["_Edit_posY"] = "0",
		["monsterName"] = "疯兔",
		["_Edit_monsterName"] = "1",
		["monsterDistribution"] = "平均",
		["_Edit_monsterDistribution"] = "1"
	},
	[1] = {
		["staticId"] = 1,
		["monsterId"] = 10001,
		["sceneId"] = 11001,
		["posX"] = -40.67,
		["posZ"] = 73.79,
		["radius"] = 15,
		["respawnTime"] = 0,
		["amount"] = 15,
		["posY"] = 0,
		["_Edit_staticId"] = "0",
		["_Edit_monsterId"] = "0",
		["_Edit_sceneId"] = "0",
		["_Edit_posX"] = "0",
		["_Edit_posZ"] = "0",
		["_Edit_radius"] = "0",
		["_Edit_respawnTime"] = "0",
		["_Edit_amount"] = "0",
		["_Edit_posY"] = "0",
		["monsterName"] = "疯兔",
		["_Edit_monsterName"] = "1",
		["monsterDistribution"] = "平均",
		["_Edit_monsterDistribution"] = "1"
	},
	[5] = {
		["staticId"] = 5,
		["monsterId"] = 10001,
		["sceneId"] = 11001,
		["posX"] = -75.24,
		["posZ"] = 73.2,
		["radius"] = 8,
		["respawnTime"] = 0,
		["amount"] = 7,
		["posY"] = 0,
		["_Edit_staticId"] = "0",
		["_Edit_monsterId"] = "0",
		["_Edit_sceneId"] = "0",
		["_Edit_posX"] = "0",
		["_Edit_posZ"] = "0",
		["_Edit_radius"] = "0",
		["_Edit_respawnTime"] = "0",
		["_Edit_amount"] = "0",
		["_Edit_posY"] = "0",
		["monsterName"] = "疯兔",
		["_Edit_monsterName"] = "1",
		["monsterDistribution"] = "平均",
		["_Edit_monsterDistribution"] = "1"
	},
	[7] = {
		["staticId"] = 7,
		["monsterId"] = 10004,
		["sceneId"] = 11001,
		["posX"] = -67.35815,
		["posZ"] = 58.99273,
		["radius"] = 5,
		["respawnTime"] = 0,
		["amount"] = 5,
		["posY"] = 0,
		["_Edit_staticId"] = "0",
		["_Edit_monsterId"] = "0",
		["_Edit_sceneId"] = "0",
		["_Edit_posX"] = "0",
		["_Edit_posZ"] = "0",
		["_Edit_radius"] = "0",
		["_Edit_respawnTime"] = "0",
		["_Edit_amount"] = "0",
		["_Edit_posY"] = "0",
		["monsterName"] = "疯兔",
		["_Edit_monsterName"] = "1",
		["monsterDistribution"] = "平均",
		["_Edit_monsterDistribution"] = "1"
	},
	[8] = {
		["staticId"] = 8,
		["monsterId"] = 10001,
		["sceneId"] = 11001,
		["posX"] = 51.10266,
		["posZ"] = 1.61492,
		["radius"] = 4,
		["respawnTime"] = 0,
		["amount"] = 4,
		["posY"] = 0,
		["_Edit_staticId"] = "0",
		["_Edit_monsterId"] = "0",
		["_Edit_sceneId"] = "0",
		["_Edit_posX"] = "0",
		["_Edit_posZ"] = "0",
		["_Edit_radius"] = "0",
		["_Edit_respawnTime"] = "0",
		["_Edit_amount"] = "0",
		["_Edit_posY"] = "0",
		["monsterName"] = "疯兔",
		["_Edit_monsterName"] = "1",
		["monsterDistribution"] = "平均",
		["_Edit_monsterDistribution"] = "1"
	},
	[16] = {
		["staticId"] = 16,
		["monsterId"] = 30001,
		["sceneId"] = 11001,
		["posX"] = 0.76902,
		["posZ"] = -78.35286,
		["radius"] = 1,
		["respawnTime"] = 0,
		["amount"] = 1,
		["posY"] = 0,
		["_Edit_staticId"] = "0",
		["_Edit_monsterId"] = "0",
		["_Edit_sceneId"] = "0",
		["_Edit_posX"] = "0",
